ID;Statut;Date de creation;Date de modification;Commande;De;Sujet;Message;Date du message;Vendeur;Tags
46;close;29/12/2019;14/02/2020;NWQAHAVHH;seller;Customers Desk - Livraison à partir du;"Bonjour, 
les 2 poubelles ROSA 60L sont parties le 21/01/2020.
Merci de me valider la réception.

Bonne journée. Valérie BOUCHET";24/01/2020;Manutan Collectivités;Informations de livraison
47;close;31/12/2019;18/02/2020;JNDMYQLCR;customer;Customers Desk - MERCI DE TELEPHONER AVANT LA;MERCI DE TELEPHONER AVANT LA LIVRAISON AU 0687715256;31/12/2019;France Filets;Informations de livraison
47;close;31/12/2019;18/02/2020;JNDMYQLCR;customer;Customers Desk - MERCI DE TELEPHONER AVANT LA;"Bonjour, je voudrais savoir quand mon filet sera livre
merci
cdlt";05/01/2020;France Filets;Informations de livraison
47;close;31/12/2019;18/02/2020;JNDMYQLCR;operator;Customers Desk - MERCI DE TELEPHONER AVANT LA;"Bonjour, 
Avez-vous bien reçu votre filet ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;France Filets;Informations de livraison
48;close;03/01/2020;08/01/2020;YXAXUWUGA;customer;"Customers Desk - Bonjour,
Pourriez-vous nous";"Bonjour,
Pourriez-vous nous transmettre la facture pour cet achat à : comite.58@fft.fr
Merci.
Cordialement.";03/01/2020;Innoquipe;
49;close;03/01/2020;03/01/2020;YXAXUWUGA;customer;"Customers Desk - Bonjour,
Pourriez-vous nous";"Bonjour,
Pourriez-vous nous transmettre la facture pour cet achat à : comite.58@fft.fr
Merci.
Cordialement.";03/01/2020;Cress Sport;
50;close;03/01/2020;04/03/2020;YOIILHOWO;customer;Customers Desk - livraison uniquement le matin au;livraison uniquement le matin au club priere de prévenir au 0680680937;03/01/2020;F.F.T.;Informations de livraison
50;close;03/01/2020;04/03/2020;YOIILHOWO;operator;Customers Desk - livraison uniquement le matin au;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;F.F.T.;Informations de livraison
51;close;03/01/2020;13/02/2020;YZRGCIRCJ;customer;Customers Desk - Merci de nous contacter avant;Merci de nous contacter avant pour une présence au club à la réception de livraison;03/01/2020;Netsportique;
52;close;03/01/2020;14/02/2020;YZRGCIRCJ;customer;Customers Desk - Merci de nous contacter avant;Merci de nous contacter avant pour une présence au club à la réception de livraison;03/01/2020;Manutan Collectivités;Informations de livraison
52;close;03/01/2020;14/02/2020;YZRGCIRCJ;seller;Customers Desk - Merci de nous contacter avant;"Bonjour, 
nous avons mentionné dans l'adresse de livraison de contacter Mr SAvery avec n° de portable.
L'information est transmise au transporteur.
Le produit sera livré entre le 10 et le 14 février 2020.

Bonne réception.
Valérie BOUCHET";24/01/2020;Manutan Collectivités;Informations de livraison
53;close;04/01/2020;04/03/2020;WCHNOFHIT;customer;Customers Desk - Bonjour, quand serai-je livré du;Bonjour, quand serai-je livré du chariot et du panier ?;04/01/2020;Babolat;Colis non reçu
53;close;04/01/2020;04/03/2020;WCHNOFHIT;customer;Customers Desk - Bonjour, quand serai-je livré du;Bonjour, pourquoi ne suis-je pas livré de la commande ?;07/01/2020;Babolat;Colis non reçu
53;close;04/01/2020;04/03/2020;WCHNOFHIT;operator;Customers Desk - Bonjour, quand serai-je livré du;"Bonjour,

Pourrez vous envoyer le suivi de livraison au client et lui répondre via la messagerie interne s'il vous plaît ? 
Merci, 

Stéphanie - PROSHOP FFT";08/01/2020;Babolat;Colis non reçu
53;close;04/01/2020;04/03/2020;WCHNOFHIT;operator;Customers Desk - Bonjour, quand serai-je livré du;"Bonjour,

Une demande a été envoyée à BABOLAT afin d'avoir plus de précisions sur la livraison.
Merci pour votre patience. 

Cordialement, 

Stéphanie - PROSHOP FFT";08/01/2020;Babolat;Colis non reçu
54;close;04/01/2020;18/02/2020;MRAGHGBEG;customer;Customers Desk - facturation au nom du Tennis Club;facturation au nom du Tennis Club de Plancoët;04/01/2020;F.F.T.;Facture
55;close;06/01/2020;18/02/2020;HEBKGPHBL;customer;Customers Desk - avec les cartes (nouveau code),;"avec les cartes (nouveau code), il faudrait 10 matrices pour 10 serrures en place.
merci";06/01/2020;VW Sports;Facture
55;close;06/01/2020;18/02/2020;HEBKGPHBL;seller;Customers Desk - avec les cartes (nouveau code),;"Bonjour Monsieur Gouache,

Nous avons bien enregistré votre commande de 300 cartes adhérents à laquelle nous ajouterons 10 cartes codes.

Nous faisons notre possible pour vous livrer dans la semaine.

Cordialement,

L'équipe VW Sports";06/01/2020;VW Sports;Facture
55;close;06/01/2020;18/02/2020;HEBKGPHBL;customer;Customers Desk - avec les cartes (nouveau code),;"Bonjour
je n'ai pas de facture et ma comptabilité m'en demande une.
comment dois je proceder ,
gerard gouache AS EVRY 57 91 0099 
evry.tennis@fft.fr
gerard.gouachefftfr";18/01/2020;VW Sports;Facture
55;close;06/01/2020;18/02/2020;HEBKGPHBL;operator;Customers Desk - avec les cartes (nouveau code),;Bonjour, avez-vous fait suivre la facture au client comme demandé ?;14/02/2020;VW Sports;Facture
56;close;06/01/2020;14/02/2020;HZIXWBMRB;customer;Customers Desk - en cas d'absence le poser;en cas d'absence le poser chez le voisin ou à l'interieur à coté du garage merci;06/01/2020;Netsportique;Informations de livraison
57;close;06/01/2020;18/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;HYPER U des Arcs sur Argens demander M. MARQUANT Jean-Philippe - tél 04-94-99-50-71;06/01/2020;Netsportique;Informations de livraison
57;close;06/01/2020;18/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;"La Facturation est à établir à:
Ampus Tennis Club
Hédon Yves
83250 La Londe-les-Maures";06/01/2020;Netsportique;Informations de livraison
57;close;06/01/2020;18/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;je n'ai toujours pas reçu la commande?;16/01/2020;Netsportique;Informations de livraison
57;close;06/01/2020;18/02/2020;LIBMMJUQH;operator;Customers Desk - HYPER U des Arcs sur Argens;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Netsportique;Informations de livraison
58;close;06/01/2020;14/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;HYPER U des Arcs sur Argens demander M. MARQUANT Jean-Philippe - tél 04-94-99-50-71;06/01/2020;Manutan Collectivités;Informations de livraison
58;close;06/01/2020;14/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;"La Facturation est à établir à:
Ampus Tennis Club
Hédon Yves
83250 La Londe-les-Maures";06/01/2020;Manutan Collectivités;Informations de livraison
58;close;06/01/2020;14/02/2020;LIBMMJUQH;customer;Customers Desk - HYPER U des Arcs sur Argens;Je n'ai toujours pas reçu la commande?;16/01/2020;Manutan Collectivités;Informations de livraison
58;close;06/01/2020;14/02/2020;LIBMMJUQH;seller;Customers Desk - HYPER U des Arcs sur Argens;"Bonjour,
la commande a été expédiée le 21/01/2020 pour une livraison entre le 24 et le 30/01/2020.
Bonne réception.
Valérie BOUCHET";24/01/2020;Manutan Collectivités;Informations de livraison
59;close;06/01/2020;09/01/2020;UBFAVKSIP;customer;Customers Desk - horaire 8h-13h et de 14h-18h;horaire 8h-13h et de 14h-18h;06/01/2020;Innoquipe;
60;close;06/01/2020;14/02/2020;UBFAVKSIP;customer;Customers Desk - horaire 8h-13h et de 14h-18h;horaire 8h-13h et de 14h-18h;06/01/2020;Casal Sport;Informations de livraison
60;close;06/01/2020;14/02/2020;UBFAVKSIP;operator;Customers Desk - horaire 8h-13h et de 14h-18h;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Casal Sport;Informations de livraison
61;close;06/01/2020;16/01/2020;UBFAVKSIP;customer;Customers Desk - horaire 8h-13h et de 14h-18h;horaire 8h-13h et de 14h-18h;06/01/2020;SCFR Impex;
61;close;06/01/2020;16/01/2020;UBFAVKSIP;seller;Customers Desk - horaire 8h-13h et de 14h-18h;"Bonjour Stéphanie,
Concernant la commande Proshop : réf. BIJMEGLOS	BRIVES CHARENSAC (CT) du 15/01/20, lorsque l'on voit en attente de paiement = JE N'EXPEDIE RIEN!!!Je suppose que j'attends payée pour lancer la commande?
Merci pour votre retour.
Sportivement,

Antonio";16/01/2020;SCFR Impex;
62;close;06/01/2020;14/02/2020;UBFAVKSIP;customer;Customers Desk - horaire 8h-13h et de 14h-18h;horaire 8h-13h et de 14h-18h;06/01/2020;Sveltus;Informations de livraison
62;close;06/01/2020;14/02/2020;UBFAVKSIP;operator;Customers Desk - horaire 8h-13h et de 14h-18h;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Sveltus;Informations de livraison
63;close;07/01/2020;14/02/2020;GPIIWWZOZ;customer;Customers Desk - La commande est très;La commande est très urgente. Les formations débutent en début de semaine prochaine. Merci;07/01/2020;F.F.T.;Informations de livraison
64;close;08/01/2020;09/01/2020;ENBOTCLSP;seller;Expédition de votre commande;"Bonjour Monsieur Schwartz,

Veuillez trouver ci-joint le lien internet de suivi de votre colis :

https://was.schenker.nu/ctts-a/com.dcs.servicebroker.http.HttpXSLTServlet?request.service=CTTSTYPEA&request.method=search&clientid=&language=fr&country=FR&reference_type=*DWB&reference_number=82321249

Expédition effectuée le 07/01/2020 par notre transporteur Schenker.

Restant à votre disposition,

Sportivement,

L'équipe VW Sports";08/01/2020;VW Sports;
65;close;08/01/2020;14/02/2020;BWFOHYOXH;customer;Customers Desk - merci de laisser le colis dans la;merci de laisser le colis dans la boite à lettres;08/01/2020;F.F.T.;Informations de livraison
66;close;08/01/2020;14/02/2020;ILOSYQJKD;customer;Customers Desk - badge orange, je vous envoie un;badge orange, je vous envoie un pdf avec le scan de la carte.;08/01/2020;LSC Maintenance;Informations de livraison
67;close;08/01/2020;14/02/2020;FYBLROREG;customer;Customers Desk - La livraison est a faire dans;La livraison est a faire dans lotissement dernier maison à gauche;08/01/2020;F.F.T.;Informations de livraison
68;close;08/01/2020;14/02/2020;FYBLROREG;customer;Customers Desk - La livraison est a faire dans;La livraison est a faire dans lotissement dernier maison à gauche;08/01/2020;Innoquipe;Informations de livraison
69;close;09/01/2020;14/02/2020;IQYQAEPWJ;customer;Customers Desk - Merci de livrer la;Merci de livrer la totalité de la commande à partir du 27 janvier 2020;09/01/2020;Netsportique;Informations de livraison
69;close;09/01/2020;14/02/2020;IQYQAEPWJ;customer;Customers Desk - Merci de livrer la;rappel: à livrer à partir du 27 janvier 2020;09/01/2020;Netsportique;Informations de livraison
70;close;09/01/2020;14/02/2020;IQYQAEPWJ;customer;Customers Desk - Merci de livrer la;Merci de livrer la totalité de la commande à partir du 27 janvier 2020;09/01/2020;Huck Occitania;Informations de livraison
70;close;09/01/2020;14/02/2020;IQYQAEPWJ;customer;Customers Desk - Merci de livrer la;rappel: livraison à partir du 27 janvier 2020;09/01/2020;Huck Occitania;Informations de livraison
70;close;09/01/2020;14/02/2020;IQYQAEPWJ;seller;Customers Desk - Merci de livrer la;"Bonjour, 
Merci pour votre commande.
Nous prenons bien en compte une livraison à partir du 27 Janvier.";09/01/2020;Huck Occitania;Informations de livraison
71;close;09/01/2020;14/02/2020;ZXFIJSBNP;customer;"Customers Desk - Bonjour,

La livraison doit se";"Bonjour,

La livraison doit se faire entre 9h00 et 17h00 tous les jours à l'exclusion du samedi.

Merci.";09/01/2020;F.F.T.;Informations de livraison
72;close;09/01/2020;18/02/2020;ILOSYQJKD;seller;Envoi d'une photo de la carte modèle;"Bonjour,
Suite à votre commande de 20 cartes perforées selon modèle,
merci de nous envoyer votre modèle à lscm@wanadoo.fr.
Cordialement
LSC MAINTENANCE";09/01/2020;LSC Maintenance;Colis non reçu
72;close;09/01/2020;18/02/2020;ILOSYQJKD;operator;Envoi d'une photo de la carte modèle;Bonjour, avez-vous bien livré la commande et reçu les documents du client ?;14/02/2020;LSC Maintenance;Colis non reçu
73;close;09/01/2020;14/02/2020;IFQTUWFSI;customer;"Customers Desk - bonjour,

je n'ai toujours pas";"bonjour,

je n'ai toujours pas reçu cette commande .merci de me donner infos";09/01/2020;Casal Sport;Colis non reçu
73;close;09/01/2020;14/02/2020;IFQTUWFSI;customer;"Customers Desk - bonjour,

je n'ai toujours pas";"merci de donner infos
tj pas de réponse depuis le 09/01 !!!!!!!!!!!!!!";26/01/2020;Casal Sport;Colis non reçu
73;close;09/01/2020;14/02/2020;IFQTUWFSI;seller;"Customers Desk - bonjour,

je n'ai toujours pas";"Bonjour 

Départ ce jour 

Cordialement";28/01/2020;Casal Sport;Colis non reçu
74;close;10/01/2020;14/02/2020;NGUFQPHPR;customer;Customers Desk - Merci de téléphoner;Merci de téléphoner avant livraison au 0614623292;10/01/2020;Netsportique;Informations de livraison
75;close;10/01/2020;14/02/2020;TPCDOVEWF;customer;Customers Desk - L'adresse est au nom de Mr et Mme;L'adresse est au nom de Mr et Mme DEBRUERES;10/01/2020;Innoquipe;Informations de livraison
75;close;10/01/2020;14/02/2020;TPCDOVEWF;seller;Customers Desk - L'adresse est au nom de Mr et Mme;"Bonjour, 
La commande est partie il y a deux jours à l'adresse de livraison 
:Catherine VALLET
16 place Rouget de lisle
39570 MONTAIGU
France Métropolitaine
0683236276

Cordialement";10/01/2020;Innoquipe;Informations de livraison
76;close;10/01/2020;14/02/2020;EBGQSTFWK;customer;Customers Desk - Livraison avant le 18 janvier;Livraison avant le 18 janvier 2020;10/01/2020;F.F.T.;Informations de livraison
77;close;12/01/2020;14/02/2020;BGAJYLFBR;customer;"Customers Desk - mail tcnogaro@aol.com
si";"mail tcnogaro@aol.com
si personne au club demander à Cabinet DPA Lotissement de Gascogne 32110 Nogaro";12/01/2020;F.F.T.;Informations de livraison
78;close;12/01/2020;15/01/2020;BGAJYLFBR;customer;"Customers Desk - mail tcnogaro@aol.com
si";"mail tcnogaro@aol.com
si personne au club demander à Cabinet DPA Lotissement de Gascogne 32110 Nogaro";12/01/2020;Tennis Scorer;
79;close;12/01/2020;14/02/2020;BGAJYLFBR;customer;"Customers Desk - mail tcnogaro@aol.com
si";"mail tcnogaro@aol.com
si personne au club demander à Cabinet DPA Lotissement de Gascogne 32110 Nogaro";12/01/2020;Iteuil sports;Informations de livraison
80;close;12/01/2020;14/02/2020;BGAJYLFBR;customer;"Customers Desk - mail tcnogaro@aol.com
si";"mail tcnogaro@aol.com
si personne au club demander à Cabinet DPA Lotissement de Gascogne 32110 Nogaro";12/01/2020;Casal Sport;Informations de livraison
81;close;13/01/2020;04/03/2020;KYHRATAGG;customer;Customers Desk - Je souhaite que la livraison;Je souhaite que la livraison puisse se faire au plus tard mercredi 15 janvier et être avisé par téléphone de la date et de l'heure de passage du livreur. Merci par avance. Cordiales salutations. Emmanuel PETIOT - Président du TC WEZIEN;13/01/2020;Netsportique;Colis non reçu
81;close;13/01/2020;04/03/2020;KYHRATAGG;seller;Customers Desk - Je souhaite que la livraison;"Bonjour,
Voici le numéro de suivi de votre commande 00D77QOH.
La commande sera expédiée aujourd'hui pour une livraison potentielle dès demain.";14/01/2020;Netsportique;Colis non reçu
81;close;13/01/2020;04/03/2020;KYHRATAGG;customer;Customers Desk - Je souhaite que la livraison;"Bonjour Madame, Monsieur
Ayant passé la commande, lundi 13/01, je n'ai pas de nouvelle, concernant la livraison sachant que j'avais demandé à être livré, mercredi 15/01. Demain, nous serons le 17/01. Je vous remercie de me renseigner. Cordialement. Emmanuel PETIOT - Président du TC WEZIEN.";16/01/2020;Netsportique;Colis non reçu
81;close;13/01/2020;04/03/2020;KYHRATAGG;operator;Customers Desk - Je souhaite que la livraison;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Netsportique;Colis non reçu
82;close;14/01/2020;14/02/2020;ZBAZKVIDA;customer;Customers Desk - frais de port gratuit à;frais de port gratuit à partir de quel Somme?;14/01/2020;F.F.T.;Informations de livraison
83;close;14/01/2020;14/02/2020;EIPZIYFJR;customer;Customers Desk - PAS DE LIVRAISON LE LUNDI POUR;PAS DE LIVRAISON LE LUNDI POUR CAUSE DE FERMETURE;14/01/2020;Huck Occitania;Informations de livraison
84;close;14/01/2020;14/02/2020;EIPZIYFJR;customer;Customers Desk - PAS DE LIVRAISON LE LUNDI POUR;PAS DE LIVRAISON LE LUNDI POUR CAUSE DE FERMETURE;14/01/2020;Netsportique;Informations de livraison
85;close;15/01/2020;18/02/2020;XTBRYMRRQ;customer;Customers Desk - merci de prevenir au 06 88 03 15;merci de prevenir au 06 88 03 15 62 avant livraison pour ouvrir le club house;15/01/2020;Metrola;Colis non reçu
85;close;15/01/2020;18/02/2020;XTBRYMRRQ;customer;Customers Desk - merci de prevenir au 06 88 03 15;Bonjour, est ce possible d'être livré avant le samedi 25 janvier, pouvez vous nous tenir au courant au 06 88 03 15 62 merci;15/01/2020;Metrola;Colis non reçu
85;close;15/01/2020;18/02/2020;XTBRYMRRQ;operator;Customers Desk - merci de prevenir au 06 88 03 15;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Metrola;Colis non reçu
85;close;15/01/2020;18/02/2020;XTBRYMRRQ;customer;Customers Desk - merci de prevenir au 06 88 03 15;"bonjour 
Commande annulée via Proshop FFT et re commandée directement par Metrola
Nous sommes en attente de l'avoir de 209.18, Monsieur Blaise de chez vous au 06 89 54 83 02 est au courant
dans l'attente
Cordialement
Pascale 06 88 03 15 62";14/02/2020;Metrola;Colis non reçu
86;close;15/01/2020;04/03/2020;AAKBRTKPC;customer;Customers Desk - Bonjour,  En ce qui concerne la;Bonjour,  En ce qui concerne la commande des tableaux de score, nous ne voulons pas d'adhésif FFT. Est-il possible d'avoir à la place comme l'année dernière un adhésif avec le logo du TCP (Tennis Club de Paris). Très cordialement.;15/01/2020;Casal Sport;Colis non reçu
86;close;15/01/2020;04/03/2020;AAKBRTKPC;operator;Customers Desk - Bonjour,  En ce qui concerne la;"Bonjour, avez-vous bien reçu votre commande ?
Cordialement,
L'équipe PROSHOP FFT";14/02/2020;Casal Sport;Colis non reçu
87;close;15/01/2020;14/02/2020;AAKBRTKPC;customer;Customers Desk - Bonjour,  En ce qui concerne la;Bonjour,  En ce qui concerne la commande des tableaux de score, nous ne voulons pas d'adhésif FFT. Est-il possible d'avoir à la place comme l'année dernière un adhésif avec le logo du TCP (Tennis Club de Paris). Très cordialement.;15/01/2020;Manutan Collectivités;Informations de livraison
87;close;15/01/2020;14/02/2020;AAKBRTKPC;seller;Customers Desk - Bonjour,  En ce qui concerne la;"Bonjour,
la commande a été expédié le 21/01/2020 pour une livraison entre le 24 et le 30/01/2020.
Bonne réception
Valérie BOUCHET";24/01/2020;Manutan Collectivités;Informations de livraison
88;close;15/01/2020;15/01/2020;AAKBRTKPC;customer;Customers Desk - Bonjour,  En ce qui concerne la;Bonjour,  En ce qui concerne la commande des tableaux de score, nous ne voulons pas d'adhésif FFT. Est-il possible d'avoir à la place comme l'année dernière un adhésif avec le logo du TCP (Tennis Club de Paris). Très cordialement.;15/01/2020;Tennis Scorer;
89;close;15/01/2020;14/02/2020;GXLCUOIDI;customer;Customers Desk - livrer chez monsieur bonat;livrer chez monsieur bonat;15/01/2020;Huck Occitania;Informations de livraison
90;close;15/01/2020;14/02/2020;GQWWAVSWQ;customer;Customers Desk - La livraison doit être au;La livraison doit être au Tennis Club de Cadenet, au dessus du parking en face de l'école Mélina Mercouri. Merci;15/01/2020;Netsportique;Informations de livraison
91;close;15/01/2020;21/01/2020;GQWWAVSWQ;customer;Customers Desk - La livraison doit être au;La livraison doit être au Tennis Club de Cadenet, au dessus du parking en face de l'école Mélina Mercouri. Merci;15/01/2020;F.F.T.;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Bonjour Rémi DAUBORD,

Pourriez-vous nous faire savoir si vous avez effectué votre paiement sur PROSHOP pour la Cde N°191 référence BIJMEGLOS de 24 balles jaunes en mousse de 12 cm?
Cela afin de pouvoir la faire partir au plus vite. 
Le site nous indique en attente de paiement.

Sportivement,

Antonio";16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Bonjour, oui normalement j'ai rempli le formulaire de prélèvement.;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Re-bonjour, ok, merci bien j'attends la validation sécurisée HIPAY afin de faire préparer votre commande.

Bonne fin de journée,

Sportivement,

Antonio";16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Ok merci ,je peux vous envoyer un RIB sinon?;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;NON, cela doit impérativement passer par PROSHOP via HIPAY. Désolé...;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Ok merci;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Ok merci;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Sur mon compte, le statut est paiement accepté...;16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Rémi, je vous validerai dès que cela est passé par le système sécurisé HIPAY.
Merci pour l'info.";16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Bonjour Stéphanie, 
Le client de la Cde N° 191 dit qu'il aurait payé et que cela est confirmé par HIPAY mais le site me dit en ATTENTE DE PAIEMENT... référence : BIJMEGLOS

Vous pourriez me confirmer qu'elle est toujours en attente ou voir si l'on aurait pas un ""bug"" merci pour votre retour.
Sportivement,

Antonio";16/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Bonjour Rémi,

Nous n'avons toujours pas eu confirmation de votre paiement. Etes-vous sur que celui-ci est bien passé?
Si oui pourriez-vous nous adresser votre ticket de paiement afin que nous l'adressions auprès de HIPAY pour vérification.

Merci pour votre retour.

Sportivement,

Antonio";18/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;Bonjour, je n'ai pas reçu de ticket de paiement...peut être j'ai mal rentre les différents codes...faut il laisser un espace entre chaque bloc de chiffres sinon je recommande ..;18/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Re-Bonjour,

Rémi,
Regardez avec la plate-forme PROSHOP (ou HIPAY), voir la FFT si vous êtes membre, en leur expliquant, car pour moi, HIPAY ne me valide pas votre paiement ce qui m'empêche de vous expédier votre colis qui est prêt à l'être.

Désolé. Bon WE.
Sportivement,

ANTONIO";18/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;"Bonjour, je viens d'avoir la FFT et tout est ok , le délais est juste un peu long avec le prélèvement donc ça devrait arriver.
Merci .";20/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Rémi, pas de soucis, je vous expédie ce jour votre commande, surveiller demain ou mercredi le passage du chauffeur DPD. Vous avez le code pour suivre sur DPD.FR votre colis.
Sportivement,
Antonio";20/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;customer;DEMANDE D'INFORMATION PAIEMENT;"Parfait.
Merci.";20/01/2020;SCFR Impex;
92;close;16/01/2020;20/01/2020;BIJMEGLOS;seller;DEMANDE D'INFORMATION PAIEMENT;"Il n'y a pas quoi.
Sportivement,

Antonio";20/01/2020;SCFR Impex;
